Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Machines.PipeBending.Monitoring.Stacklight.StackLight_1.StacklightMode","ns=7;i=6120",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_2.NumberInList","ns=7;i=6089",Word,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_2.SignalColor","ns=7;i=6088",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_2.SignalOn","ns=7;i=6090",Boolean,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_2.StacklightMode","ns=7;i=6121",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_3.NumberInList","ns=7;i=6092",Word,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_3.SignalColor","ns=7;i=6091",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_3.SignalOn","ns=7;i=6093",Boolean,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_3.StacklightMode","ns=7;i=6122",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_4.NumberInList","ns=7;i=6095",Word,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_4.SignalColor","ns=7;i=6094",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_4.SignalOn","ns=7;i=6096",Boolean,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_4.StacklightMode","ns=7;i=6123",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_5.NumberInList","ns=7;i=6098",Word,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_5.SignalColor","ns=7;i=6097",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_5.SignalOn","ns=7;i=6099",Boolean,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_5.StacklightMode","ns=7;i=6124",Long,1,R/W,100,,,,,,,,,,"",
